TowerID,TowerLat,TowerLon
0db53dd3,32.731611,-96.709417
aeaf8b43,32.731722,-96.7095
fadaa83f,32.899944,-96.910389
95d7920d,32.899944,-96.910389
95c91e8b,32.899944,-96.910389
b4319acf,32.696721999999994,-96.934306
f958754c,32.870971999999995,-96.923556
07dec2d7,32.696083,-96.934333
1cffcc44,32.870971999999995,-96.923556
d4e84085,32.696083,-96.934333
73900a57,32.695555999999996,-96.938333
8b54cc68,32.870971999999995,-96.923556
e3572de6,32.870944,-96.923528
da558347,32.870971999999995,-96.923556
245134b4,32.870944,-96.923528
3adc057c,32.870971999999995,-96.923556
5fcc412a,32.695555999999996,-96.938333
4a5bbfd1,32.696721999999994,-96.934306
0b8b52af,32.696083,-96.934333
0a5847f3,32.695583,-96.938222
2f649bf1,32.695583,-96.938222
3ef95514,32.81075,-96.893917
6672464e,32.696083,-96.934333
d549ba1d,32.695861,-96.93794399999999
e1fc93e2,32.865806,-96.866028
d283fe5a,32.780278,-96.893333
24e4c51f,32.865806,-96.866028
5ab36b2d,32.865806,-96.86447199999999
e77652ea,32.865806,-96.866028
845cc8b7,32.846944,-96.834972
a9fff0cf,32.847528000000004,-96.834583
c95ef0ab,32.875,-96.730278
586a35ff,32.917221999999995,-96.76083299999999
bb16f89f,32.811389,-96.87055600000001
f9a9468b,32.7535,-96.74252800000001
6e9870b1,32.7535,-96.74252800000001
3693a194,32.7535,-96.74252800000001
3fcde5c3,32.720833,-96.832222
69f4f4a1,32.703056,-96.604444
d532d9c4,32.720833,-96.832222
fd8be326,32.773610999999995,-96.813611
7ea8225d,32.779167,-96.805
113cbb89,32.768861,-96.811
583c5185,32.773610999999995,-96.813611
282d497a,32.721944,-96.892222
8f8c676c,32.721944,-96.892222
fbb206b6,32.721944,-96.892222
6c1f0271,32.772361,-96.77727800000001
307aa2a7,32.985083,-96.80252800000001
6a3b5a57,32.985083,-96.80252800000001
06fe2702,32.985083,-96.80255600000001
f0111611,32.772361,-96.77727800000001
2e6f05e4,32.772361,-96.77727800000001
