TowerID,TowerLat,TowerLon
0db53dd3-eb9c-4344-abc5-c2d74ebc3eec,32.731611,-96.709417
aeaf8b43-8034-44fe-833d-31854a75acbf,32.731722,-96.709500
fadaa83f-6001-45fd-aa4a-17d6c6b7ec00,32.899944,-96.910389
95d7920d-c3cd-4d20-a568-9a55800dc807,32.899944,-96.910389
95c91e8b-6ff1-4893-9df3-b0342636bd25,32.899944,-96.910389
b4319acf-b475-4c3e-a2e0-03b2dd2daf9e,32.696722,-96.934306
f958754c-3d55-47c4-8236-50b964a7b997,32.870972,-96.923556
07dec2d7-b5d1-410d-8879-ecf7385af719,32.696083,-96.934333
1cffcc44-1c60-4ca2-9a37-d3862bbe9702,32.870972,-96.923556
d4e84085-292b-4fcb-bdc1-9813ca24e696,32.696083,-96.934333
73900a57-7f0f-46e8-a30b-aa84828eee40,32.695556,-96.938333
8b54cc68-bb4d-4baf-b824-4cd1ba67bfb0,32.870972,-96.923556
e3572de6-38e5-4e79-978d-f42e6da3f4ec,32.870944,-96.923528
da558347-0be4-401a-ab65-f19d136e2542,32.870972,-96.923556
245134b4-96ca-455e-a5dc-2b5777c00d62,32.870944,-96.923528
3adc057c-4ec8-44b7-bf6b-7b1c4fe9a99a,32.870972,-96.923556
5fcc412a-14ac-4ee2-8fb2-86353c7b5750,32.695556,-96.938333
4a5bbfd1-8f33-4b5a-8f67-ffb4a3ff4c10,32.696722,-96.934306
0b8b52af-9b05-42bf-808c-f840d5aa56a0,32.696083,-96.934333
0a5847f3-01e3-48fa-8774-fea5b715bf99,32.695583,-96.938222
2f649bf1-5a42-47c0-b53f-bc6874f97cab,32.695583,-96.938222
3ef95514-1477-4b46-9515-c163aa28f582,32.810750,-96.893917
6672464e-9093-499b-947f-322a6e4441fb,32.696083,-96.934333
d549ba1d-03b9-4ac1-a867-657355614b73,32.695861,-96.937944
e1fc93e2-8f7b-4752-b4f4-a3967575d8d4,32.865806,-96.866028
d283fe5a-bb0c-48f0-8d8b-42b0c2177adb,32.780278,-96.893333
24e4c51f-89f9-4d78-9b1a-8b2989f7330d,32.865806,-96.866028
5ab36b2d-0bdc-456d-8556-6aa8949d6bd3,32.865806,-96.864472
e77652ea-0c3d-4bf6-8151-0dffd79ebbb9,32.865806,-96.866028
845cc8b7-4671-4d8a-abdc-69e46bf5a237,32.846944,-96.834972
a9fff0cf-b6ca-4f94-ad74-c9da6d9f394e,32.847528,-96.834583
c95ef0ab-91e5-41e6-937c-5e18b7dce5a5,32.875000,-96.730278
586a35ff-faa4-4a6c-a298-e18959604c23,32.917222,-96.760833
bb16f89f-4c76-4990-9ebf-8df6b4a2b2cd,32.811389,-96.870556
f9a9468b-dca3-4510-8fc1-1cba8dc77882,32.753500,-96.742528
6e9870b1-4721-41ed-8746-3569de9b1bb3,32.753500,-96.742528
3693a194-a7de-4195-89b1-98e1d58a9f1b,32.753500,-96.742528
3fcde5c3-03cd-4c94-9913-4bfe1851f2c2,32.720833,-96.832222
69f4f4a1-8055-4c75-ac86-404d4a3f16d0,32.703056,-96.604444
d532d9c4-51c3-4cad-b51a-ab377700dc1a,32.720833,-96.832222
fd8be326-fe13-43c4-b040-c4d0a79f1bc7,32.773611,-96.813611
7ea8225d-7ce1-407e-b151-637b9cc2868a,32.779167,-96.805000
113cbb89-a693-4702-a563-c0b5b30076d3,32.768861,-96.811000
583c5185-f9ad-406b-a986-4e0bff20f10a,32.773611,-96.813611
282d497a-034e-4423-b9aa-5f61c05d1d11,32.721944,-96.892222
8f8c676c-e676-41eb-b698-26142e84a20b,32.721944,-96.892222
fbb206b6-e592-4257-b88f-e279773e9c24,32.721944,-96.892222
